,Protein_Names,Sample_Name,Hits
266,NCOA1-2_MOUSE;NCOA1-3_MOUSE;NCOA1-4_MOUSE;NCOA1_MOUSE,Q331K_M1,200389.0
267,ELAV1_MOUSE,Q331K_M1,305766.0
268,USP9X_MOUSE,Q331K_M1,83926.3
269,RL36A_MOUSE,Q331K_M1,843914.0
270,AP2M1_MOUSE,Q331K_M1,296414.0
271,RL19_MOUSE,Q331K_M1,1321730.0
272,SRSF3-2_MOUSE;SRSF3_MOUSE,Q331K_M1,2041800.0
273,RL10L_MOUSE;RL10_MOUSE,Q331K_M1,644086.0
274,CSRP1_MOUSE,Q331K_M1,457151.0
275,PKP1_MOUSE,Q331K_M1,231650.0
276,DPYL1_MOUSE,Q331K_M1,103425.0
277,CAC1A_MOUSE,Q331K_M1,32109.6
278,RS5_MOUSE,Q331K_M1,65873.8
279,SHPS1-2_MOUSE;SHPS1-3_MOUSE;SHPS1-4_MOUSE;SHPS1_MOUSE,Q331K_M1,0.0
280,NFIB-2_MOUSE;NFIB-3_MOUSE;NFIB_MOUSE,Q331K_M1,52703.3
281,RBBP6-2_MOUSE;RBBP6_MOUSE,Q331K_M1,303774.0
282,TBB5_MOUSE,Q331K_M1,2528890.0
283,PRDX5-2_MOUSE;PRDX5_MOUSE,Q331K_M1,463121.0
284,APOA1_MOUSE,Q331K_M1,1670230.0
285,A1AT4_MOUSE,Q331K_M1,48963.3
286,HNRL2_MOUSE,Q331K_M1,255636.0
287,TERA_MOUSE,Q331K_M1,0.0
288,CTNB1_MOUSE,Q331K_M1,0.0
289,PLAK_MOUSE,Q331K_M1,1204900.0
290,MARK1_MOUSE;MARK2-2_MOUSE;MARK2-3_MOUSE;MARK2-4_MOUSE;MARK2_MOUSE;MARK3-2_MOUSE;MARK3-3_MOUSE;MARK3_MOUSE;MARK4-2_MOUSE;MARK4_MOUSE,Q331K_M1,53035.7
291,ATPA_MOUSE,Q331K_M1,2870780.0
292,TOP1_MOUSE,Q331K_M1,47396.0
293,PGBM_MOUSE,Q331K_M1,86764.4
294,FABP5_MOUSE,Q331K_M1,355752.0
295,IF2P_MOUSE,Q331K_M1,306856.0
296,TGM3_MOUSE,Q331K_M1,91173.4
297,NCF1_MOUSE,Q331K_M1,128869.0
298,PSD3-2_MOUSE;PSD3-3_MOUSE;PSD3-4_MOUSE;PSD3-5_MOUSE;PSD3_MOUSE,Q331K_M1,0.0
299,KHDC4-2_MOUSE;KHDC4-3_MOUSE;KHDC4_MOUSE,Q331K_M1,147629.0
300,HP1B3-2_MOUSE;HP1B3_MOUSE,Q331K_M1,723378.0
301,VGLU1_MOUSE,Q331K_M1,447284.0
302,FUBP2_MOUSE,Q331K_M1,2973830.0
303,CC174_MOUSE,Q331K_M1,97535.6
304,PUF60-2_MOUSE;PUF60-3_MOUSE;PUF60_MOUSE,Q331K_M1,696392.0
305,LIMC1-2_MOUSE;LIMC1_MOUSE,Q331K_M1,94099.6
306,CC177_MOUSE,Q331K_M1,143896.0
307,AGAP2-2_MOUSE;AGAP2_MOUSE,Q331K_M1,45545.4
308,AAK1-2_MOUSE;AAK1_MOUSE,Q331K_M1,230663.0
309,CAMKV_MOUSE,Q331K_M1,89400.6
310,RHG17-2_MOUSE;RHG17-3_MOUSE;RHG17-4_MOUSE;RHG17_MOUSE,Q331K_M1,228306.0
311,Q3UJB0_MOUSE,Q331K_M1,487848.0
312,ARGL1_MOUSE,Q331K_M1,4744220.0
313,MCCB_MOUSE,Q331K_M1,1097040.0
314,LRCH2-2_MOUSE;LRCH2-3_MOUSE;LRCH2_MOUSE,Q331K_M1,349298.0
315,GRIN1_MOUSE,Q331K_M1,620872.0
316,LSME1-2_MOUSE;LSME1_MOUSE,Q331K_M1,229476.0
317,GRM5-2_MOUSE;GRM5_MOUSE,Q331K_M1,79022.3
318,OXR1-2_MOUSE;OXR1-3_MOUSE;OXR1-4_MOUSE;OXR1_MOUSE,Q331K_M1,108998.0
319,UN13A_MOUSE,Q331K_M1,0.0
320,HERC2-2_MOUSE;HERC2_MOUSE,Q331K_M1,0.0
321,DDX17_MOUSE,Q331K_M1,440635.0
322,SRRM1_MOUSE,Q331K_M1,284753.0
323,DDX46_MOUSE,Q331K_M1,880796.0
324,TR150_MOUSE,Q331K_M1,285763.0
325,KCD16_MOUSE,Q331K_M1,100429.0
326,CYFP1-2_MOUSE;CYFP1_MOUSE;CYFP2_MOUSE,Q331K_M1,52194.1
327,COIL_MOUSE,Q331K_M1,407243.0
328,LC7L3-2_MOUSE;LC7L3-3_MOUSE;LC7L3_MOUSE,Q331K_M1,159023.0
329,SYNRG-2_MOUSE,Q331K_M1,683170.0
330,ACACA-2_MOUSE,Q331K_M1,59778900.0
331,RABL6_MOUSE,Q331K_M1,981167.0
332,TMPSD_MOUSE,Q331K_M1,6430440.0
333,ODO1-2_MOUSE;ODO1-3_MOUSE;ODO1-4_MOUSE;ODO1_MOUSE,Q331K_M1,0.0
334,SRC8_MOUSE,Q331K_M1,490091.0
335,SATB1_MOUSE,Q331K_M1,131827.0
336,HNRPD-2_MOUSE;HNRPD-3_MOUSE;HNRPD-4_MOUSE;HNRPD_MOUSE,Q331K_M1,828145.0
337,KHDR1_MOUSE,Q331K_M1,317703.0
338,ARHG2-4_MOUSE;ARHG2-5_MOUSE;ARHG2_MOUSE,Q331K_M1,845276.0
339,ELAV2_MOUSE,Q331K_M1,320997.0
340,ELAV3-2_MOUSE;ELAV3_MOUSE,Q331K_M1,939246.0
341,EP15R-2_MOUSE;EP15R-3_MOUSE;EP15R-4_MOUSE;EP15R_MOUSE,Q331K_M1,0.0
342,VDAC2_MOUSE,Q331K_M1,269906.0
343,NCOA2_MOUSE,Q331K_M1,260920.0
344,PRDX2_MOUSE,Q331K_M1,1066460.0
345,ARGI1_MOUSE,Q331K_M1,347224.0
346,HCFC1_MOUSE,Q331K_M1,292374.0
347,CTNA2-2_MOUSE;CTNA2-3_MOUSE;CTNA2_MOUSE,Q331K_M1,503072.0
348,ZN638-4_MOUSE;ZN638_MOUSE,Q331K_M1,363378.0
349,EWS_MOUSE,Q331K_M1,0.0
350,AP180-2_MOUSE;AP180-3_MOUSE;AP180_MOUSE,Q331K_M1,492905.0
351,DDX5_MOUSE,Q331K_M1,4884360.0
352,HS105-2_MOUSE;HS105_MOUSE,Q331K_M1,0.0
353,ELAV4-10_MOUSE;ELAV4-11_MOUSE;ELAV4-2_MOUSE;ELAV4-4_MOUSE;ELAV4-5_MOUSE;ELAV4-6_MOUSE;ELAV4-7_MOUSE;ELAV4-9_MOUSE;ELAV4_MOUSE,Q331K_M1,678654.0
354,LASP1_MOUSE,Q331K_M1,0.0
355,PZP_MOUSE,Q331K_M1,492274.0
356,NPM_MOUSE,Q331K_M1,106267.0
357,PCBP2-3_MOUSE;PCBP2_MOUSE,Q331K_M1,2459010.0
358,SRSF2_MOUSE,Q331K_M1,855398.0
359,DLG4-2_MOUSE;DLG4-3_MOUSE;DLG4_MOUSE,Q331K_M1,409576.0
360,SF3A2_MOUSE,Q331K_M1,92056.3
361,SPR1A_MOUSE,Q331K_M1,858973.0
362,RU17_MOUSE,Q331K_M1,316512.0
